column_name,data_type
event_id,text
event_timestamp,timestamp with time zone
treatment_finished_at,timestamp with time zone
event_type_code,integer
event_description,text
access_name,text
user_name,text
user_profile,text
unit_group,text
unit,text
handler_profile,text
handler_name,text
treatment,text
source_file,text
created_at,timestamp with time zone
event_id,text
event_timestamp,timestamp with time zone
treatment_finished_at,timestamp with time zone
event_type_code,integer
event_description,text
access_name,text
user_name,text
user_profile,text
unit_group,text
unit,text
handler_profile,text
handler_name,text
treatment,text
source_file,text
